label,DEM,LULC,NDVI,RAIN,SLOPE,SOIL,SPI,TOTAL_CURVATURE,TWI
0,4.0,3.0,0.15520984,268.19474382028346,0.07585481,2.0,1.5133118e-08,1.3909028e-07,8.735508
0,7.0,7.0,0.058029577,440.292330995459,0.44000396,3.0,5.159677e-08,5.2845206e-07,2.4551544
0,7.0,7.0,0.07860144,566.2173215223089,2.125157,3.0,2.0507908e-07,8.900322e-06,-4.6805215
0,3.0,7.0,-0.0062004146,433.4480705116316,1.353874,3.0,1.1114323e-07,3.3070203e-06,-4.4470716
0,4.0,7.0,0.19737628,530.6180250214139,0.1461606,8.0,1.40501e-07,1.8366423e-07,9.425363
0,7.0,7.0,0.015913399,268.19474382028346,2.0389695,2.0,1.6738461e-07,5.311159e-06,-4.8743215
0,4.0,2.0,0.12551261,433.4480705116316,1.944679,14.0,1.8741639e-07,2.2957922e-06,-4.684507
0,4.0,2.0,0.16262403,444.2405641327265,0.7620856,5.0,1.8349e-07,2.170439e-06,1.2856619
0,3.0,2.0,0.15358685,476.2319776673981,1.5614642,8.0,1.3720012e-07,1.455337e-05,-4.5398054
1,0.0,7.0,0.063363224,530.6180250214139,0.28635687,7.0,3.5537226e-07,3.5983817e-07,3.1537359
0,7.0,8.0,-0.0121384915,444.2405641327265,3.6076534,2.0,7.3841136e-07,3.1487314e-06,-4.6561904
1,-4.0,7.0,-0.01235162,444.2405641327265,2.815391e-07,4.0,1.4361113e-13,3.3136645e-20,12.608297
0,8.0,8.0,-0.016094487,444.2405641327265,4.6495337,2.0,3.8294792e-07,2.4046325e-05,-5.623106
0,6.0,7.0,0.033269204,476.2319776673981,1.1859837,2.0,5.091591e-07,3.5220155e-06,-2.9627807
0,5.0,2.0,0.17407854,268.19474382028346,1.3622061,4.0,5.6885807e-07,1.1065198e-06,-2.949829
0,4.0,7.0,0.04696247,566.2173215223089,0.48155025,2.0,2.9403884e-07,6.2470855e-07,5.780518
0,9.0,7.0,0.05221377,476.2319776673981,1.4653956,2.0,1.5031593e-06,4.6248056e-06,0.8941281
0,3.0,7.0,0.08353518,566.2173215223089,2.240354,8.0,3.7545104e-07,2.530174e-06,-4.2847037
0,2.0,7.0,-0.015321428,433.4480705116316,2.4952695e-07,6.0,5.0213092e-14,1.0023295e-20,11.803307
0,7.0,2.0,0.18706553,476.2319776673981,2.0974424,8.0,3.670052e-07,1.4593614e-06,-4.3253813
0,7.0,2.0,0.11630275,299.27474044036524,1.288574,4.0,1.7310957e-07,2.3521675e-06,-4.1219115
0,6.0,7.0,-0.030264981,378.4631320168247,1.4020605,2.0,1.831175e-07,1.4848657e-06,-3.9841998
0,0.0,7.0,0.033087447,440.292330995459,2.098732,3.0,8.600461e-06,5.5401156e-06,-2.6188385
0,4.0,7.0,0.024426386,288.7713595997085,0.051938828,3.0,4.2647166e-09,5.011132e-08,10.551553
0,4.0,7.0,0.075984225,566.2173215223089,0.707067,3.0,7.5149273e-06,9.963445e-07,-0.9630264
0,5.0,7.0,0.011081165,440.292330995459,1.1916573,2.0,2.0191531e-07,6.1132675e-07,-3.424012
0,5.0,7.0,0.004223283,444.2405641327265,1.1346688,3.0,1.1326723e-07,1.3554548e-05,-4.1911864
0,4.0,7.0,-0.017106054,433.4480705116316,0.7319599,2.0,2.998086e-07,7.820185e-07,-2.301253
0,7.0,4.0,0.14117059,566.2173215223089,3.7470844,9.0,8.45014e-05,1.40569055e-05,-4.118136
0,10.0,8.0,0.12268101,476.2319776673981,1.2879157,9.0,2.2635552e-07,4.098236e-06,-3.6324816
0,4.0,7.0,0.07475763,566.2173215223089,0.19063388,3.0,1.725146e-08,2.081414e-07,6.0081487
0,5.0,1.0,0.0275428,530.6180250214139,0.90243274,0.0,1.2168385e-07,3.7799687e-06,-3.7314332
0,6.0,7.0,-0.007038754,566.2173215223089,1.0052472,2.0,5.2044504e-07,3.3725023e-06,-2.7629535
0,9.0,7.0,0.10015447,440.292330995459,0.73838705,3.0,3.5728485e-07,1.273576e-06,-2.3258438
0,3.0,7.0,0.103425466,444.2405641327265,1.6268893,3.0,9.2682245e-07,1.0635904e-06,-3.0375454
0,4.0,7.0,-0.00024050467,389.9206706472762,2.3626318,5.0,3.2827708e-07,7.5415637e-06,-4.4647884
1,-1.0,7.0,0.0065545407,444.2405641327265,1.6925593e-07,5.0,4.7820005e-13,3.421553e-21,14.079679
0,6.0,7.0,0.02349437,476.2319776673981,1.2227957,2.0,2.3632126e-07,5.6453035e-07,-3.5787554
0,5.0,2.0,0.20358439,530.6180250214139,1.029032,12.0,1.685288e-07,3.3895737e-06,-3.7363575
0,3.0,7.0,-0.031441573,433.4480705116316,1.2575992,2.0,1.9238298e-05,2.919507e-06,-1.7995589
0,6.0,7.0,0.12929846,566.2173215223089,0.03763001,4.0,1.8534902e-08,3.6300108e-08,11.788628
0,7.0,7.0,-0.029730469,303.01294735578887,1.6716457e-07,5.0,9.507888e-14,3.8642033e-21,13.180929
0,4.0,7.0,0.020391785,440.292330995459,4.086644,6.0,1.2070943e-06,6.3669995e-06,-4.494242
0,2.0,7.0,0.022384182,476.2319776673981,0.14905784,2.0,4.1604298e-07,1.4379734e-07,8.72377
0,10.0,5.0,0.13379976,530.6180250214139,1.8048848,2.0,3.063464e-07,4.2126206e-07,-4.1296315
0,4.0,7.0,2.6847543e-05,440.292330995459,1.6572349,5.0,1.3604698e-07,3.3048984e-06,-4.638987
1,0.0,7.0,0.0059368964,530.6180250214139,1.0371337,5.0,7.722782e-06,1.3749635e-05,12.525863
0,2.0,1.0,0.016249048,530.6180250214139,2.6310287,0.0,9.653302e-07,3.5573032e-06,-4.07382
0,8.0,8.0,0.044889946,433.4480705116316,0.6255736,5.0,2.0031831e-07,6.204545e-07,-2.1629927
1,-1.0,7.0,0.0039753034,444.2405641327265,1.8638138e-07,6.0,2.901554e-13,2.0909249e-20,13.960811
0,3.0,7.0,-0.03273111,433.4480705116316,2.1931772,2.0,1.6591632e-05,3.3053952e-06,-1.7595204
0,5.0,7.0,0.055542257,530.6180250214139,0.9180913,2.0,5.76106e-07,2.6684086e-06,3.4759839
0,3.0,7.0,-0.02483037,433.4480705116316,1.258989,2.0,1.9054798e-07,1.3584591e-06,-3.8100798
0,4.0,7.0,-0.026412115,433.4480705116316,0.4521043,4.0,1.291998e-06,9.0721295e-07,-1.5551018
0,5.0,2.0,0.17324871,270.0013566082148,0.5547346,5.0,4.5539792e-08,6.297935e-07,-1.6692744
