label,geometry,DEM,LULC,NDVI,RAIN,SLOPE,SOIL,SPI,TOTAL_CURVATURE,TWI
0,POINT (548875.4053817802 706920.5014061994),0.0,0.0,,,1.6512168e-06,0.0,2.5823858e-13,1.0808666e-17,12.095714
0,POINT (521094.23217545875 719841.2833593006),4.0,3.0,0.15520984,268.19474382028346,0.07585481,2.0,1.5133118e-08,1.3909028e-07,8.735508
0,POINT (547025.3165108974 713007.8905942655),7.0,7.0,0.058029577,440.292330995459,0.44000396,3.0,5.159677e-08,5.2845206e-07,2.4551544
0,POINT (567316.6138044511 713216.7715958168),7.0,7.0,0.07860144,566.2173215223089,2.125157,3.0,2.0507908e-07,8.900322e-06,-4.6805215
0,POINT (549263.327241804 718737.1980653866),0.0,0.0,,,1.4259321e-07,0.0,1.3501805e-14,6.672358e-21,11.7010975
0,POINT (539565.2807412085 714022.4554589433),3.0,7.0,-0.0062004146,433.4480705116316,1.353874,3.0,1.1114323e-07,3.3070203e-06,-4.4470716
0,POINT (530165.6356714005 709814.9952848387),4.0,7.0,0.19737628,530.6180250214139,0.1461606,8.0,1.40501e-07,1.8366423e-07,9.425363
0,POINT (519154.62287533964 718916.2389238592),7.0,7.0,0.015913399,268.19474382028346,2.0389695,2.0,1.6738461e-07,5.311159e-06,-4.8743215
0,POINT (548099.5616617325 706920.5014061994),0.0,0.0,,,2.3204865e-07,0.0,2.0733946e-13,1.1200336e-20,13.445721
0,POINT (537864.3925857194 709307.7128524998),4.0,2.0,0.12551261,433.4480705116316,1.944679,14.0,1.8741639e-07,2.2957922e-06,-4.684507
0,POINT (564720.5213565994 712023.1658726666),4.0,2.0,0.16262403,444.2405641327265,0.7620856,5.0,1.8349e-07,2.170439e-06,1.2856619
0,POINT (573881.4452817773 720378.4059347182),0.0,0.0,,,2.338129e-06,0.0,2.0989308e-13,8.683824e-18,8.8453665
0,POINT (515364.92470433767 709218.1924232636),3.0,2.0,0.15358685,476.23197766739804,1.5614642,8.0,1.3720012e-07,1.455337e-05,-4.5398054
0,POINT (563019.6332011103 708263.3078447434),0.0,0.0,,,9.4640063e-07,0.0,2.6588178e-12,2.557206e-18,14.12277
1,POINT (528882.5095190139 711038.4411510676),0.0,7.0,0.063363224,530.6180250214139,0.28635687,7.0,3.5537226e-07,3.5983817e-07,3.1537359
0,POINT (560721.9421840461 709427.0734248149),0.0,0.0,,,3.4619615e-07,0.0,4.2037515e-12,1.1445118e-19,14.415084
0,POINT (564780.2016427569 720288.885505482),0.0,0.0,,,1.9244273e-07,0.0,8.189878e-13,7.2523175e-33,15.240151
0,POINT (555529.7572883427 710023.87628639),7.0,8.0,-0.0121384915,444.2405641327265,3.6076534,2.0,7.3841136e-07,3.1487314e-06,-4.6561904
0,POINT (554395.8318513499 715603.9830421173),0.0,0.0,,,4.8642314e-06,0.0,1.0049993e-11,3.291228e-17,11.262664
0,POINT (540430.6448904923 716230.6260467712),1.0,6.0,,433.4480705116316,2.221784,4.0,5.391654e-07,2.6187636e-06,-3.8790174
1,POINT (563347.8747749766 716618.5479067949),-4.0,7.0,-0.01235162,444.2405641327265,2.815391e-07,4.0,1.4361113e-13,3.3136645e-20,12.608297
0,POINT (555738.638289894 709904.515714075),8.0,8.0,-0.016094487,444.2405641327265,4.6495337,2.0,3.8294792e-07,2.4046325e-05,-5.623106
0,POINT (538580.5560196096 707308.4232662232),0.0,0.0,,,1.9239808e-07,0.0,6.6760573e-13,6.987758e-33,14.975228
0,POINT (519065.10244610335 717901.6740591815),6.0,7.0,0.033269204,476.23197766739804,1.1859837,2.0,5.091591e-07,3.5220155e-06,-2.9627807
0,POINT (518080.37772450445 719334.0009269618),5.0,2.0,0.17407854,268.19474382028346,1.3622061,4.0,5.6885807e-07,1.1065198e-06,-2.949829
0,POINT (560781.6224702037 717991.1944884177),0.0,0.0,,,1.9243477e-07,0.0,7.3061816e-14,7.205098e-33,12.524897
0,POINT (570360.3083984841 707785.8655554833),0.0,0.0,,,1.911995e-07,0.0,7.392683e-13,1.2899639e-38,15.151443
0,POINT (570091.7471107754 714082.1357451008),4.0,7.0,0.04696247,566.2173215223089,0.48155025,2.0,2.9403884e-07,6.2470855e-07,5.780518
0,POINT (568957.8216737827 720348.5657916395),0.0,0.0,,,3.4559343e-07,0.0,2.9071784e-13,1.0295251e-19,11.190168
0,POINT (571195.8324046894 721631.6919440259),0.0,0.0,,,1.924474e-07,0.0,1.616472e-12,7.280014e-33,15.920265
0,POINT (521750.71532319137 716081.4253313774),9.0,7.0,0.05221377,476.23197766739804,1.4653956,2.0,1.5031593e-06,4.6248056e-06,0.8941281
0,POINT (527151.7812204461 716051.5851882986),0.0,0.0,,530.6180250214139,2.2816738e-07,0.0,6.935053e-14,1.693713e-20,12.454917
0,POINT (569972.3865384604 719005.7593530954),0.0,0.0,,,3.462375e-07,0.0,7.641784e-11,1.1452963e-19,12.818048
0,POINT (570300.6281123267 716141.1056175348),3.0,7.0,0.08353518,566.2173215223089,2.240354,8.0,3.7545104e-07,2.530174e-06,-4.2847037
0,POINT (536402.2255748603 719900.9636454581),0.0,0.0,,,5.7433743e-07,0.0,2.5452234e-12,4.901564e-19,14.025965
0,POINT (537983.7531580344 713276.4518819744),2.0,7.0,-0.015321428,433.4480705116316,2.4952695e-07,6.0,5.0213092e-14,1.0023295e-20,11.803307
0,POINT (526674.338931186 716141.1056175348),0.0,0.0,,530.6180250214139,5.5744664e-07,0.0,1.8942157e-13,3.0040225e-19,11.107592
0,POINT (557170.9651576743 721780.8926594197),0.0,0.0,,,2.449816e-07,0.0,1.2970073e-13,5.909418e-20,13.064844
0,POINT (520855.5110308287 710322.2777171775),7.0,2.0,0.18706553,476.23197766739804,2.0974424,8.0,3.670052e-07,1.4593614e-06,-4.3253813
0,POINT (523153.2020478929 719632.4023577493),7.0,2.0,0.11630275,299.27474044036524,1.288574,4.0,1.7310957e-07,2.3521675e-06,-4.1219115
0,POINT (572687.8395586271 718289.5959192053),0.0,0.0,,,3.4623443e-07,0.0,2.3747492e-13,1.1452372e-19,11.096127
0,POINT (544220.3430614943 720646.967222427),0.0,0.0,,,1.9244396e-07,0.0,2.0454458e-12,7.259745e-33,16.156189
0,POINT (537924.0728718769 718170.2353468903),6.0,7.0,-0.030264981,378.46313201682466,1.4020605,2.0,1.831175e-07,1.4848657e-06,-3.9841998
0,POINT (516081.0881382278 707457.623981617),0.0,0.0,,,1.6692942e-06,0.0,1.6151155e-13,4.007489e-18,9.373037
0,POINT (571673.2746939494 708352.8282739797),0.0,0.0,,,1.911995e-07,0.0,1.0431236e-11,1.6923955e-38,16.80897
0,POINT (551262.6168280806 710769.8798633589),0.0,7.0,0.033087447,440.292330995459,2.098732,3.0,8.600461e-06,5.5401156e-06,-2.6188385
0,POINT (561557.4661902513 716111.2654744561),0.0,0.0,,,1.911995e-07,0.0,2.5495067e-14,1.668488e-38,11.73194
0,POINT (525092.811348012 719065.439639253),0.0,0.0,,,1.911995e-07,0.0,4.4624162e-13,1.0961923e-37,14.003577
0,POINT (569345.7435338065 710202.9171448625),7.0,8.0,0.0042623547,,1.3513349,4.0,1.2003002e-07,5.0936105e-06,-4.2777734
